Translate 1, Translate 2, Translate 3, MLTLM
28, 27, 24, 19
13, 13, 10, 18
9, 9, 6, 15
34, 34, 31, 10
15, 14, 11, 12
42, 40, 36, 17
39, 39, 35, 16
18, 18, 15, 13
36, 35, 30, 18
42, 41, 38, 15
69, 67, 63, 23
83, 82, 75, 33
63, 62, 58, 20
115, 114, 106, 34
44, 43, 38, 22
62, 59, 55, 13
12, 12, 9, 19
28, 27, 23, 18
23, 23, 20, 10
11, 11, 9, 14
18, 18, 14, 25
49, 48, 44, 18
12, 12, 10, 13
16, 16, 12, 22
76, 74, 67, 19
13, 13, 11, 19
78, 77, 73, 22
47, 47, 41, 26
37, 37, 32, 32
65, 64, 59, 17
19, 19, 15, 12
13, 13, 10, 16
21, 20, 16, 12
22, 21, 19, 11
15, 14, 11, 11
39, 38, 35, 18
10, 10, 7, 18
31, 30, 25, 25
27, 27, 23, 20
30, 29, 25, 20
30, 29, 25, 25
77, 76, 71, 37
45, 44, 39, 27
86, 84, 75, 23
63, 61, 54, 25
45, 44, 41, 13
40, 39, 37, 12
38, 36, 34, 8
17, 17, 13, 22
34, 34, 31, 10
69, 66, 60, 16
53, 52, 45, 23
18, 18, 15, 16
29, 29, 24, 22
42, 42, 38, 20
76, 75, 69, 34
34, 33, 28, 24
113, 111, 106, 25
31, 31, 26, 30
88, 85, 80, 33
